metric;heuristic;benchmark;program;version;balancing;value;total_test_case;total_statement;total_test_positive;total_test_negative;total_test_equal;total_test_dif
topn;ochiai;defects4j;Chart;1;nenhum;39;314;7058;313;1;0;314
topn;tarantula;defects4j;Chart;1;nenhum;39;314;7058;313;1;0;314
topn;ochiai;defects4j;Chart;1;smote;39;314;7058;313;1;0;314
topn;tarantula;defects4j;Chart;1;smote;39;314;7058;313;1;0;314
topn;ochiai;defects4j;Chart;2;nenhum;1328;172;1329;170;2;0;172
topn;tarantula;defects4j;Chart;2;nenhum;1328;172;1329;170;2;0;172
topn;ochiai;defects4j;Chart;2;smote;1328;172;1329;170;2;0;172
topn;tarantula;defects4j;Chart;2;smote;1328;172;1329;170;2;0;172
topn;ochiai;defects4j;Chart;3;nenhum;11;47;841;46;1;0;47
topn;tarantula;defects4j;Chart;3;nenhum;11;47;841;46;1;0;47
topn;ochiai;defects4j;Chart;3;smote;11;47;841;46;1;0;47
topn;tarantula;defects4j;Chart;3;smote;11;47;841;46;1;0;47
topn;ochiai;defects4j;Chart;4;nenhum;114;370;25164;361;9;0;370
topn;tarantula;defects4j;Chart;4;nenhum;676;370;25164;361;9;0;370
topn;ochiai;defects4j;Chart;4;smote;17;370;25164;361;9;0;370
topn;tarantula;defects4j;Chart;4;smote;273;370;25164;361;9;0;370
topn;ochiai;defects4j;Chart;5;nenhum;10;56;285;55;1;0;56
topn;tarantula;defects4j;Chart;5;nenhum;10;56;285;55;1;0;56
topn;ochiai;defects4j;Chart;5;smote;10;56;285;55;1;0;56
topn;tarantula;defects4j;Chart;5;smote;10;56;285;55;1;0;56
topn;ochiai;defects4j;Chart;6;nenhum;57;100;677;98;2;0;100
topn;tarantula;defects4j;Chart;6;nenhum;104;100;677;98;2;0;100
topn;ochiai;defects4j;Chart;6;smote;16;100;677;98;2;0;100
topn;tarantula;defects4j;Chart;6;smote;30;100;677;98;2;0;100
topn;ochiai;defects4j;Chart;7;nenhum;100;15;482;14;1;0;15
topn;tarantula;defects4j;Chart;7;nenhum;100;15;482;14;1;0;15
topn;ochiai;defects4j;Chart;7;smote;100;15;482;14;1;0;15
topn;tarantula;defects4j;Chart;7;smote;100;15;482;14;1;0;15
topn;ochiai;defects4j;Chart;8;nenhum;16;17;196;16;1;0;17
topn;tarantula;defects4j;Chart;8;nenhum;16;17;196;16;1;0;17
topn;ochiai;defects4j;Chart;8;smote;16;17;196;16;1;0;17
topn;tarantula;defects4j;Chart;8;smote;16;17;196;16;1;0;17
topn;ochiai;defects4j;Chart;9;nenhum;16;31;954;30;1;0;31
topn;tarantula;defects4j;Chart;9;nenhum;16;31;954;30;1;0;31
topn;ochiai;defects4j;Chart;9;smote;16;31;954;30;1;0;31
topn;tarantula;defects4j;Chart;9;smote;16;31;954;30;1;0;31
