benchmark;program;version;test;statement;balancing;ntest-pos; ntest-neg; coverage; heuristic; fault-pos
defects4j;Chart;1;428;7057;none;427;1;65.0;ochiai;37
defects4j;Chart;1;428;7057;none;427;1;65.0;tarantula;37
defects4j;Chart;1;428;7057;smote;427;1;65.0;ochiai;37
defects4j;Chart;1;428;7057;smote;427;1;65.0;tarantula;37
defects4j;Chart;2;349;1328;none;347;2;63.0;ochiai;97
defects4j;Chart;2;349;1328;none;347;2;63.0;tarantula;97
defects4j;Chart;2;694;1328;smote;347;347;63.0;ochiai;142
defects4j;Chart;2;694;1328;smote;347;347;63.0;tarantula;142
defects4j;Chart;3;49;840;none;48;1;65.0;ochiai;11
defects4j;Chart;3;49;840;none;48;1;65.0;tarantula;11
defects4j;Chart;3;49;840;smote;48;1;65.0;ochiai;11
defects4j;Chart;3;49;840;smote;48;1;65.0;tarantula;11
defects4j;Chart;4;425;25163;none;403;22;51.0;ochiai;171
defects4j;Chart;4;425;25163;none;403;22;51.0;tarantula;682
defects4j;Chart;4;806;25163;smote;403;403;51.0;ochiai;47
defects4j;Chart;4;806;25163;smote;403;403;51.0;tarantula;492
defects4j;Chart;5;126;284;none;125;1;75.0;ochiai;10
defects4j;Chart;5;126;284;none;125;1;75.0;tarantula;10
defects4j;Chart;5;126;284;smote;125;1;75.0;ochiai;10
defects4j;Chart;5;126;284;smote;125;1;75.0;tarantula;10
defects4j;Chart;6;479;676;none;477;2;54.0;ochiai;57
defects4j;Chart;6;479;676;none;477;2;54.0;tarantula;104
defects4j;Chart;6;954;676;smote;477;477;54.0;ochiai;16
defects4j;Chart;6;954;676;smote;477;477;54.0;tarantula;30
defects4j;Chart;7;15;481;none;14;1;59.0;ochiai;100
defects4j;Chart;7;15;481;none;14;1;59.0;tarantula;100
defects4j;Chart;7;15;481;smote;14;1;59.0;ochiai;100
defects4j;Chart;7;15;481;smote;14;1;59.0;tarantula;100
defects4j;Chart;8;23;195;none;22;1;42.0;ochiai;16
defects4j;Chart;8;23;195;none;22;1;42.0;tarantula;16
defects4j;Chart;8;23;195;smote;22;1;42.0;ochiai;16
